stall_id,stall_name,food_name,food_id,food_price,food_categories
17,WAFFLE TIME,Tuna Cheesedog Waffle,299,₱32.00,"Snack, Hot"
17,WAFFLE TIME,Bavarian Cream Waffle,300,₱28.00,"Snack, Hot"
17,WAFFLE TIME,Deli Coconut Waffle,301,₱32.00,"Snack, Hot"
17,WAFFLE TIME,Ultimate Ube Waffle,302,₱26.00,"Snack, Hot"
17,WAFFLE TIME,Belgian Chocolate Waffle,303,₱30.00,"Snack, Hot"
17,WAFFLE TIME,Bacon & Cheese Waffle,304,₱35.00,"Snack, Hot"
17,WAFFLE TIME,German Cheese Franks Waffle,305,₱35.00,"Snack, Hot"
18,Lizas Eatery,Squeeze Lemonade Classic M,306,₱25.00,"Beverage, Cold"
18,Lizas Eatery,Squeeze Lemonade Classic L,307,₱35.00,"Beverage, Cold"
18,Lizas Eatery,Squeeze Lemonade Classic M w/ Yakult,308,₱40.00,"Beverage, Cold"
18,Lizas Eatery,Squeeze Lemonade Classic L w/ Yakult,309,₱50.00,"Beverage, Cold"
18,Lizas Eatery,Squeeze Lemonade Classic M w/ Cucumber,310,₱35.00,"Beverage, Cold"
